"County_ID";"COUNTY";"STATE"
1;"Autauga County";"Alabama "
2;"Baldwin County";"Alabama "
3;"Barbour County";"Alabama "
4;"Bibb County";"Alabama "
5;"Blount County";"Alabama "
6;"Bullock County";"Alabama "
7;"Butler County";"Alabama "
8;"Routt County";"Colorado "
9;"Calhoun County";"Alabama "
10;"Chambers County";"Alabama "
11;"Cherokee County";"Alabama "
12;"Saguache County";"Colorado "
13;"San Juan County";"Colorado "
14;"Grant County";"Kansas "
15;"Chilton County";"Alabama "
16;"Choctaw County";"Alabama "
17;"Gray County";"Kansas "
18;"Greeley County";"Kansas "
19;"Clarke County";"Alabama "
20;"Clay County";"Alabama "
21;"Cleburne County";"Alabama "
22;"Coffee County";"Alabama "
23;"Colbert County";"Alabama "
24;"Conecuh County";"Alabama "
25;"Coosa County";"Alabama "
26;"Covington County";"Alabama "
27;"Crenshaw County";"Alabama "
28;"Cullman County";"Alabama "
29;"Dale County";"Alabama "
30;"Dallas County";"Alabama "
31;"DeKalb County";"Alabama "
32;"San Miguel County";"Colorado "
33;"Sedgwick County";"Colorado "
34;"Summit County";"Colorado "
35;"Teller County";"Colorado "
36;"Greenwood County";"Kansas "
37;"Washington County";"Colorado "
38;"Hamilton County";"Kansas "
39;"Clay County";"Illinois "
40;"Harper County";"Kansas "
41;"Harvey County";"Kansas "
42;"Clinton County";"Illinois "
43;"Haskell County";"Kansas "
44;"Coles County";"Illinois "
45;"Weld County";"Colorado "
46;"Hodgeman County";"Kansas "
47;"Yuma County";"Colorado "
48;"Jackson County";"Kansas "
49;"Jefferson County";"Kansas "
50;"Jewell County";"Kansas "
51;"Fairfield County";"Connecticut "
52;"Johnson County";"Kansas "
53;"Kearny County";"Kansas "
54;"Kingman County";"Kansas "
55;"Hartford County";"Connecticut "
56;"Kiowa County";"Kansas "
57;"Litchfield County";"Connecticut "
58;"Middlesex County";"Connecticut "
59;"New Haven County";"Connecticut "
60;"Labette County";"Kansas "
61;"Lane County";"Kansas "
62;"Leavenworth County";"Kansas "
63;"New London County";"Connecticut "
64;"Lincoln County";"Kansas "
65;"Tolland County";"Connecticut "
66;"Linn County";"Kansas "
67;"Windham County";"Connecticut "
68;"Logan County";"Kansas "
69;"Kent County";"Delaware "
70;"Lyon County";"Kansas "
71;"New Castle County";"Delaware "
72;"Marion County";"Kansas "
73;"Elmore County";"Alabama "
74;"Sussex County";"Delaware "
75;"Marshall County";"Kansas "
76;"Escambia County";"Alabama "
77;"District of Columbia County";"District of Columbia "
78;"Etowah County";"Alabama "
79;"Alachua County";"Florida "
80;"Fayette County";"Alabama "
81;"Franklin County";"Alabama "
82;"Geneva County";"Alabama "
83;"Cook County";"Illinois "
84;"Greene County";"Alabama "
85;"Crawford County";"Illinois "
86;"Baker County";"Florida "
87;"Hale County";"Alabama "
88;"Bay County";"Florida "
89;"Cumberland County";"Illinois "
90;"Henry County";"Alabama "
91;"DeKalb County";"Illinois "
92;"Houston County";"Alabama "
93;"De Witt County";"Illinois "
94;"Jackson County";"Alabama "
95;"Jefferson County";"Alabama "
96;"Douglas County";"Illinois "
97;"Du Page County";"Illinois "
98;"Lamar County";"Alabama "
99;"Edgar County";"Illinois "
100;"Edwards County";"Illinois "
101;"Lauderdale County";"Alabama "
102;"Lawrence County";"Alabama "
103;"Lee County";"Alabama "
104;"Limestone County";"Alabama"
105;"Effingham County";"Illinois "
106;"Lowndes County";"Alabama "
107;"Fayette County";"Illinois "
108;"Macon County";"Alabama "
109;"Ford County";"Illinois "
110;"Madison County";"Alabama "
111;"Franklin County";"Illinois "
112;"Marengo County";"Alabama "
113;"Marion County";"Alabama "
114;"Marshall County";"Alabama "
115;"Mobile County";"Alabama "
116;"Monroe County";"Alabama "
117;"Fulton County";"Illinois "
118;"Gallatin County";"Illinois "
119;"Greene County";"Illinois "
120;"Grundy County";"Illinois "
121;"Hamilton County";"Illinois "
122;"Montgomery County";"Alabama "
123;"Hancock County";"Illinois "
124;"Morgan County";"Alabama "
125;"Hardin County";"Illinois "
126;"Perry County";"Alabama "
127;"Henderson County";"Illinois "
128;"Pickens County";"Alabama "
129;"Pike County";"Alabama "
130;"Randolph County";"Alabama "
131;"Russell County";"Alabama "
132;"Henry County";"Illinois "
133;"Shelby County";"Alabama "
134;"St. Clair County";"Alabama "
135;"Sumter County";"Alabama "
136;"Talladega County";"Alabama "
137;"Tallapoosa County";"Alabama "
138;"Tuscaloosa County";"Alabama "
139;"Walker County";"Alabama "
140;"Washington County";"Alabama "
141;"Wilcox County";"Alabama "
142;"Winston County";"Alabama "
143;"Aleutians East Borough";"Alaska "
144;"Aleutians West Census Area";"Alaska "
145;"Bethel Census Area";"Alaska "
146;"Bristol Bay Borough";"Alaska "
147;"Denali Borough";"Alaska "
148;"Dillingham Census Area";"Alaska "
149;"Fairbanks North Star Borough";"Alaska "
150;"Haines Borough";"Alaska "
151;"Juneau City and Borough";"Alaska "
152;"Kenai Peninsula Borough";"Alaska "
153;"Ketchikan Gateway Borough";"Alaska "
154;"Kodiak Island Borough";"Alaska "
155;"Lake and Peninsula Borough";"Alaska "
156;"Matanuska-Susitna Borough";"Alaska "
157;"Nome Census Area";"Alaska "
158;"North Slope Borough";"Alaska "
159;"Northwest Arctic Borough";"Alaska "
160;"Prince of Wales-Outer Ketchikan Census Area";"Alaska "
161;"Sitka City and Borough";"Alaska "
162;"Skagway-Hoonah-Angoon Census Area";"Alaska "
163;"McPherson County";"Kansas "
164;"Southeast Fairbanks Census Area";"Alaska "
165;"Meade County";"Kansas "
