"County Code";"State";"County";"Unemployment 2018";"Median Income 2018";"County_ID"
1000;"Alabama";"Alabama";3.9;"49881";0
1001;"Alabama";"Autauga County, AL";3.6;"59338";0
1003;"Alabama";"Baldwin County, AL";3.6;"57588";0
1005;"Alabama";"Barbour County, AL";5.1;"34382";0
1007;"Alabama";"Bibb County, AL";3.9;"46064";0
1009;"Alabama";"Blount County, AL";3.5;"50412";0
1011;"Alabama";"Bullock County, AL";4.6;"29267";0
1013;"Alabama";"Butler County, AL";4.7;"37365";0
1015;"Alabama";"Calhoun County, AL";4.6;"45400";0
1017;"Alabama";"Chambers County, AL";3.8;"39917";0
1019;"Alabama";"Cherokee County, AL";3.5;"42132";0
1021;"Alabama";"Chilton County, AL";3.6;"47547";0
1023;"Alabama";"Choctaw County, AL";5.4;"39907";0
1025;"Alabama";"Clarke County, AL";7.4;"40741";0
1027;"Alabama";"Clay County, AL";3.8;"39201";0
1029;"Alabama";"Cleburne County, AL";4.2;"46495";0
1031;"Alabama";"Coffee County, AL";3.9;"55122";0
1033;"Alabama";"Colbert County, AL";4.5;"49055";0
1035;"Alabama";"Conecuh County, AL";5.1;"32613";0
1037;"Alabama";"Coosa County, AL";4.1;"42423";0
1039;"Alabama";"Covington County, AL";4.5;"40203";0
1041;"Alabama";"Crenshaw County, AL";4.0;"39057";0
1043;"Alabama";"Cullman County, AL";3.2;"45796";0
1045;"Alabama";"Dale County, AL";4.1;"45309";0
1047;"Alabama";"Dallas County, AL";6.4;"34035";0
1049;"Alabama";"DeKalb County, AL";3.8;"39491";0
1051;"Alabama";"Elmore County, AL";3.4;"60367";0
1053;"Alabama";"Escambia County, AL";4.5;"38418";0
1055;"Alabama";"Etowah County, AL";4.0;"44903";0
1057;"Alabama";"Fayette County, AL";4.0;"39254";0
1059;"Alabama";"Franklin County, AL";3.7;"39388";0
1061;"Alabama";"Geneva County, AL";3.9;"37823";0
1063;"Alabama";"Greene County, AL";6.6;"28524";0
1065;"Alabama";"Hale County, AL";5.0;"34724";0
1067;"Alabama";"Henry County, AL";4.4;"46027";0
1069;"Alabama";"Houston County, AL";4.0;"47993";0
1071;"Alabama";"Jackson County, AL";4.0;"41929";0
1073;"Alabama";"Jefferson County, AL";3.7;"55013";0
1075;"Alabama";"Lamar County, AL";3.7;"40936";0
1077;"Alabama";"Lauderdale County, AL";4.1;"48707";0
1079;"Alabama";"Lawrence County, AL";4.1;"43909";0
1081;"Alabama";"Lee County, AL";3.6;"48937";0
1083;"Alabama";"Limestone County, AL";3.5;"64863";0
1085;"Alabama";"Lowndes County, AL";7.2;"33973";0
1087;"Alabama";"Macon County, AL";5.3;"32495";0
1089;"Alabama";"Madison County, AL";3.4;"63755";0
1091;"Alabama";"Marengo County, AL";4.9;"37733";0
1093;"Alabama";"Marion County, AL";4.0;"37887";0
1095;"Alabama";"Marshall County, AL";3.3;"46233";0
1097;"Alabama";"Mobile County, AL";4.6;"43598";0
1099;"Alabama";"Monroe County, AL";6.0;"39556";0
1101;"Alabama";"Montgomery County, AL";3.9;"49640";0
1103;"Alabama";"Morgan County, AL";3.4;"52797";0
1105;"Alabama";"Perry County, AL";6.4;"26814";0
1107;"Alabama";"Pickens County, AL";4.5;"37586";0
1109;"Alabama";"Pike County, AL";4.5;"37259";0
1111;"Alabama";"Randolph County, AL";4.0;"40546";0
1113;"Alabama";"Russell County, AL";4.0;"39104";0
1115;"Alabama";"St. Clair County, AL";3.4;"57284";0
1117;"Alabama";"Shelby County, AL";2.8;"75663";0
1119;"Alabama";"Sumter County, AL";5.7;"27859";0
1121;"Alabama";"Talladega County, AL";4.2;"41630";0
1123;"Alabama";"Tallapoosa County, AL";4.1;"42205";0
1125;"Alabama";"Tuscaloosa County, AL";3.6;"52557";0
1127;"Alabama";"Walker County, AL";4.2;"45434";0
1129;"Alabama";"Washington County, AL";5.7;"44424";0
1131;"Alabama";"Wilcox County, AL";9.4;"25385";0
1133;"Alabama";"Winston County, AL";4.1;"41156";0
2000;"Alaska";"Alaska";6.5;"74912";0
2013;"Alaska";"Aleutians East Borough, AK";3.1;"70081";0
2016;"Alaska";"Aleutians West Census Area, AK";3.5;"82633";0
2020;"Alaska";"Anchorage Borough/municipality, AK";5.4;"82113";0
2050;"Alaska";"Bethel Census Area, AK";12.7;"44304";0
2060;"Alaska";"Bristol Bay Borough, AK";6.1;"77257";0
2068;"Alaska";"Denali Borough, AK";7.8;"75477";0
2070;"Alaska";"Dillingham Census Area, AK";8.0;"54524";0
2090;"Alaska";"Fairbanks North Star Borough, AK";5.7;"74268";0
2100;"Alaska";"Haines Borough, AK";9.6;"58943";0
2105;"Alaska";"Hoonah-Angoon Census Area, AK";12.4;"51188";0
2110;"Alaska";"Juneau Borough/city, AK";4.3;"79173";0
2122;"Alaska";"Kenai Peninsula Borough, AK";7.5;"65439";0
2130;"Alaska";"Ketchikan Gateway Borough, AK";6.0;"68309";0
2150;"Alaska";"Kodiak Island Borough, AK";5.8;"74109";0
2164;"Alaska";"Lake and Peninsula Borough, AK";10.9;"49403";0
2170;"Alaska";"Matanuska-Susitna Borough, AK";7.4;"74649";0
2180;"Alaska";"Nome Census Area, AK";11.3;"55318";0
2185;"Alaska";"North Slope Borough, AK";6.8;"89276";0
2188;"Alaska";"Northwest Arctic Borough, AK";13.6;"59337";0
2220;"Alaska";"Sitka Borough/city, AK";4.1;"71825";0
2230;"Alaska";"Skagway Borough/municipality, AK";9.4;"74635";0
2240;"Alaska";"Southeast Fairbanks Census Area, AK";9.5;"63527";0
2261;"Alaska";"Valdez-Cordova Census Area, AK";7.2;"68528";0
2282;"Alaska";"Yakutat Borough/city, AK";8.1;"59523";0
2290;"Alaska";"Yukon-Koyukuk Census Area, AK";14.6;"38912";0
4000;"Arizona";"Arizona";4.7;"59079";0
4001;"Arizona";"Apache County, AZ";9.8;"33652";0
4003;"Arizona";"Cochise County, AZ";5.5;"49164";0
4005;"Arizona";"Coconino County, AZ";5.4;"60187";0
4007;"Arizona";"Gila County, AZ";5.7;"43585";0
4009;"Arizona";"Graham County, AZ";5.0;"50157";0
4011;"Arizona";"Greenlee County, AZ";4.1;"65818";0
4012;"Arizona";"La Paz County, AZ";6.1;"37350";0
4013;"Arizona";"Maricopa County, AZ";4.1;"65234";0
4015;"Arizona";"Mohave County, AZ";5.6;"45129";0
4017;"Arizona";"Navajo County, AZ";7.6;"40650";0
4019;"Arizona";"Pima County, AZ";4.4;"53395";0
